,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
3581,CHEMBL540685,260.0,nM,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNCc4cccc(OC)c4)cc13)NS(=O)(=O)CC2,6.585026652029182,576.2406412519999,7,4,3.4594000000000023,True
3582,CHEMBL2349483,260.0,nM,CCN1C(=O)C2(CC(C)(C)Oc3ccc(-c4cccc(Cl)c4)cc32)N=C1N,6.585026652029182,383.140054624,4,1,3.9402000000000026,True
3583,CHEMBL1208935,260.0,nM,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)CO)c2)CCCCC1,6.585026652029182,488.28504951599996,4,4,4.092000000000003,True
3584,CHEMBL3984469,260.0,nM,C[C@@]1(c2cc(NC3CCC3)ccc2F)COCC(N)=N1,6.585026652029182,277.15904048,4,2,2.3927,True
3585,CHEMBL3654221,260.0,nM,Cc1csc([C@H]2CC3CSC(N)=N[C@@]3(c3ccc(F)cc3F)CO2)n1,6.585026652029182,381.078110604,6,1,3.7643200000000023,True
3586,CHEMBL200617,260.0,nM,CC(C)[C@H](NC(=O)[C@H](C)C[C@H](O)[C@@H]1CCCCCN(C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)[C@@H](C)C(=O)N1)C(=O)NCc1ccncc1,6.585026652029182,674.436698196,8,5,3.050900000000004,True
3587,CHEMBL3653461,260.0,nM,NC1=N[C@@](c2cc(NC(=O)c3ccc(O)nn3)ccc2F)(C(F)F)COC1,6.585026652029182,381.104873968,7,3,1.4214000000000002,True
3588,CHEMBL1270833,260.0,nM,C#Cc1cccc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)c1,6.585026652029182,355.11323316000005,4,1,2.2996,True
3589,CHEMBL3653491,260.0,nM,Cc1nc(C(=O)Nc2ccc(F)c([C@]3(C(F)F)COCC(N)=N3)c2)c(N)o1,6.585026652029182,383.12052403200005,7,3,1.80442,True
3590,CHEMBL1791014,260.0,nM,CC[C@H](C)[C@H](NC(C)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](CC(C)C)C(=O)NCc1cccc(C(=O)O)c1,6.585026652029182,647.3894136560001,7,7,1.8693000000000048,False
3591,CHEMBL446879,262.0,nM,C[C@@H](NC(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)cc2c1CCCCO2)c1ccc(F)cc1,6.581698708680255,559.2846349160001,5,4,4.485800000000004,True
3592,CHEMBL534410,262.0,nM,CCNC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2c3c(c1)c(CC)cn3CCS(=O)(=O)N2C,6.581698708680255,498.23007656799996,6,3,2.2947999999999995,True
3593,CHEMBL4110833,262.2,nM,COC1CCC2(CC1)Cc1ccc(C#CC3CC3)cc1[C@@]21N=C(N)N(C[C@H]2CCCO2)C1=O,6.581367312645934,447.252191916,5,1,3.110800000000002,True
3594,CHEMBL2047139,263.0,nM,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CNC(=O)c1[nH]c(=O)[nH]c(=O)c1F)C(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CO)C(=O)O,6.580044251510242,706.308617796,10,10,-2.779699999999996,False
3595,CHEMBL3927975,263.5,nM,COC1CCC2(CC1)Oc1ccc(Br)cc1C21N=C(N)N(C)C1=O,6.579219380451434,393.0688036,5,1,2.1513,True
3596,CHEMBL3642626,264.0,nM,CC1(c2cc(NC(=O)c3ccc(Cl)cn3)cc(C(F)(F)F)c2)CCSC(N)=N1,6.578396073130168,428.0685444720001,5,2,4.672900000000003,True
3597,CHEMBL1601822,264.0,nM,Fc1ccccc1CSc1nc2ccc[nH]c-2n1,6.578396073130168,259.05794654,3,1,3.340900000000002,True
3598,CHEMBL489052,264.0,nM,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@@H]2NCCNC2=O)c1,6.578396073130168,530.270462072,5,4,2.3254200000000003,True
3599,CHEMBL3414706,265.0,nM,NC1=N[C@@]2(c3ccc(F)cc3F)COCC[C@H]2CS1,6.576754126063192,284.079490508,4,1,2.2581000000000007,True
3600,CHEMBL3891756,265.3,nM,CC(C)N1C(=O)C2(N=C1N)c1cc(-c3cccc(C#N)c3)ccc1C[C@]21CC[C@@H](OC(F)F)CC1,6.576262750017671,478.218032576,5,1,4.710180000000004,True
3601,CHEMBL3909616,267.0,nM,CO[C@H]1CC[C@]2(CC1)Cc1ccc(CC(C)(C)C)cc1C21N=C(N)N(C(C)C)C1=O,6.573488738635424,411.28857742400004,4,1,4.167300000000003,True
3602,CHEMBL3656260,267.8,nM,CN1C(=O)C2(N=C1N)c1cc(C#CC3CC3)ccc1O[C@]21CC[C@@H](OC(F)F)CC1,6.57218942732401,415.17074803599996,5,1,2.743100000000001,True
3603,CHEMBL3926622,269.0,nM,NC1=N[C@](CF)(c2cc(Nc3ncnc4sc(C(F)F)nc34)ccc2F)C[C@@H](C(F)(F)F)O1,6.570247719997592,494.075977576,8,2,4.737300000000001,True
3604,CHEMBL272718,269.0,nM,CCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2CC(=O)/N=C(/N)NCCC2OCCO2)cc1,6.570247719997592,510.203383152,5,2,4.458200000000002,True
3605,CHEMBL3933493,269.2,nM,COC1CCC2(CC1)Cc1ccc(C3=CCN(C)C(=O)C3)cc1C21N=C(N)N(C)C1=O,6.569924944448061,422.23179082000007,5,1,2.0455999999999994,True
3606,CHEMBL2180475,270.0,nM,O=C(/C=C/c1cccc(O)c1O)c1ccc(O)cc1O,6.568636235841012,272.068473484,5,4,2.4051000000000013,True
3607,CHEMBL401717,270.0,nM,CCOCCN1C[C@@H](C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCc3ccccc3)CN2)CC1=O,6.568636235841012,545.270127724,6,3,2.185299999999999,True
3608,CHEMBL3127094,270.0,nM,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1O[C@@H]1CCOC[C@H]12,6.568636235841012,355.13321965599994,6,1,2.2253999999999996,True
3609,CHEMBL567485,270.0,nM,COc1ccc(C2(C34CC5CC(CC(C5)C3)C4)N=C(N)N(C)C2=O)cc1OC,6.568636235841012,383.22089178799996,5,1,2.9022000000000014,True
3610,CHEMBL3670351,270.0,nM,Cc1cc(C#N)cnc1C(=O)Nc1cccc(C2(CF)COCC(N)=N2)n1,6.568636235841012,368.13970200400007,7,2,1.4611999999999998,True
3611,CHEMBL251118,270.0,nM,C[C@@]1(N)Cc2cccc(c2)CC[C@H](c2ccccc2)NC(=O)c2cc(Br)cc(c2)COC1=O,6.568636235841012,506.12050482399997,4,2,4.869700000000004,True
3612,CHEMBL4111654,270.0,nM,COc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)OCC3(F)F)n2)c(C)c1,6.568636235841012,409.136174096,7,2,2.380420000000001,True
3613,CHEMBL1097343,270.0,nM,COC[C@H]1CCCN1C(=O)CCCC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1CN(S(=O)(=O)c2cccc(C)c2)CCN1,6.568636235841012,636.279312504,7,3,2.1318200000000016,True
3614,CHEMBL584284,270.0,nM,COc1ccc(C2(C34CC5CC(CC(C5)C3)C4)N=C(N)N(C)C2=O)cc1C,6.568636235841012,367.225977168,4,1,3.202020000000002,True
3615,CHEMBL3919475,270.0,nM,C[C@@]1(c2cc(Nc3cccc4cc(OC(F)F)cnc34)ccc2F)COCC(N)=N1,6.568636235841012,416.146010508,6,2,4.321500000000002,True
3616,CHEMBL3672688,270.0,nM,CC1=N[C@@]2(N=C1N)c1cc(Br)ccc1C[C@]21CC[C@@H](O)CC1,6.568636235841012,361.07897435999996,4,2,2.9110000000000014,True
3617,CHEMBL572313,270.0,nM,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(-n3cccn3)c2)CCCOC1,6.568636235841012,484.22859726,6,3,2.8541000000000007,True
3618,CHEMBL3688717,271.0,nM,Cc1cccnc1C(=O)Nc1ccc(F)c([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1,6.567030709125595,390.130360444,5,2,2.975220000000001,True
3619,CHEMBL3670313,273.0,nM,COc1cnc(C(=O)Nc2cccc(C3(C(F)(F)F)CCSC(N)=N3)c2)cn1,6.563837352959244,411.0976804120001,7,2,2.9467000000000008,True
3620,CHEMBL3656186,273.6,nM,CCC(C)N1C(=O)C2(N=C1N)c1cc(C#N)ccc1C[C@]21CC[C@@H](OC)CC1,6.562883906951921,380.221226136,5,1,2.8404800000000012,True
3621,CHEMBL404166,276.0,nM,Cc1csc(CN/C(N)=N\C(=O)Cn2c(-c3ccccc3)ccc2C23CC4CC(CC(C4)C2)C3)n1,6.559090917934782,487.24058167600003,4,2,5.018920000000005,True
3622,CHEMBL3703234,276.0,nM,NC1=NC2(CO1)c1cc(NC(=O)c3ncc(Cl)cc3F)ccc1OCC21CC1,6.559090917934782,402.08949627199996,6,2,2.839200000000001,True
3623,CHEMBL2349498,278.0,nM,CN1C(=O)C2(CC(C)(C)Oc3ccc(C4CCCCC4)cc32)N=C1N,6.555955204081924,341.2103271040001,4,1,3.277400000000001,True
3624,CHEMBL3642604,278.0,nM,Cc1cc(C(=O)Nc2cc(Br)cc(C3(C)CCSC(N)=N3)c2)c(C)o1,6.555955204081924,421.0459599800001,5,2,4.578040000000003,True
3625,CHEMBL270820,278.0,nM,CCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2CC(=O)/N=C(/N)NCCC(=O)O)cc1,6.555955204081924,482.172083024,4,3,4.169900000000002,True
3626,CHEMBL4575167,280.0,nM,FC(F)(F)c1ccc(/C=N/C2CCN(Cc3ccccc3)CC2)cc1,6.552841968657781,346.165683332,2,0,4.788900000000004,True
3627,CHEMBL391109,280.0,nM,CCCCNC(=O)c1ccc(-c2scc(-c3ccccc3Cl)c2CC(=O)/N=C(/N)NCCCO)cc1,6.552841968657781,526.180539532,4,4,4.621200000000004,True
