,molecule_chembl_id,IC50,units,smiles,pIC50,ro5_fulfilled
3786,CHEMBL3640271,349.0,nM,Cc1nc(N2C[C@H]3C(=O)N(C)C(N)=N[C@@]3(c3ccccc3)C2)nc(C2CC2)c1F,6.45717457304082,True
3787,CHEMBL3639522,350.0,nM,N#Cc1ccc(C(=O)Nc2cccc(C3(C(F)F)COCC(N)=N3)c2)nc1,6.455931955649724,True
3788,CHEMBL3958106,350.0,nM,C[C@@]1(c2cc(NCC(F)(F)F)ccc2F)COCC(N)=N1,6.455931955649724,True
3790,CHEMBL3707021,350.0,nM,COc1ccc2c(c1)CCC2(Cc1ccc(C(F)(F)F)cc1)c1cn(C)c(N)n1,6.455931955649724,True
3792,CHEMBL3653358,350.0,nM,CC1(c2cccc(NC(=O)c3cc(Br)co3)c2)COCC(N)=N1,6.455931955649724,True
3793,CHEMBL1208905,350.0,nM,COc1ccc([C@@H]2CC(=O)c3c(cc(OC)c(C)c3O)O2)cc1-c1c(O)cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc12,6.455931955649724,False
3794,CHEMBL583688,350.0,nM,CC(=O)N[C@H]1CC[C@@](NC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(C)=O)(c2cccc(C(C)(C)C)c2)CN1,6.455931955649724,True
3795,CHEMBL3914008,350.0,nM,Cc1cn2ccnc(Nc3ccc(F)c([C@]4(C(F)F)COCC(N)=N4)c3)c2n1,6.455931955649724,True
3796,CHEMBL2177468,350.0,nM,C[C@H]1C[C@]2(CCN1Cc1ccc(O)c(Cl)c1)CN(C)S(=O)(=O)N2c1cccc(F)c1,6.455931955649724,True
3797,CHEMBL4457091,350.0,nM,Cn1nccc1[C@@H]1C[C@@](C)(c2ccc(F)cc2F)N=C(N)S1,6.455931955649724,True
3798,CHEMBL3653376,350.0,nM,Cc1cc(Cl)cnc1C(=O)Nc1cccc(C2(C(F)F)COCC(N)=N2)c1,6.455931955649724,True
3799,CHEMBL402307,350.0,nM,Cc1cccc(CN2C[C@@H](C(=O)N[C@@H](Cc3cc(F)cc(F)c3)[C@H](O)[C@H]3C[C@@H](OCc4ccccc4)CN3)CC2=O)c1,6.455931955649724,True
3800,CHEMBL33724,350.0,nM,CC(C)[C@H](O)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,6.455931955649724,False
3801,CHEMBL394850,350.0,nM,CCCN(CC1CC1)c1cc(C(=O)N[C@H](CO)Cc2cc(F)cc(F)c2)cc(N(C)S(=O)(=O)C(C)C)n1,6.455931955649724,True
3802,CHEMBL142715,350.0,nM,c1ccc(-c2ccc(COc3ccc4c(c3)CCC(CCN3CCCCC3)C4)cc2)cc1,6.455931955649724,True
3803,CHEMBL3703262,350.0,nM,NC1=NC2(CO1)c1cc(-c3cnc4[nH]ccc4c3)ccc1OCC21CC1,6.455931955649724,True
3804,CHEMBL82352,350.0,nM,CSCC[C@H](NC(=O)[C@@H](O)C(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,6.455931955649724,False
3805,CHEMBL3954507,350.6,nM,COC1CCC2(CC1)Cc1ccc(Br)cc1C21N=C(N)N(C2CC2)C1=O,6.455188088242224,True
3806,CHEMBL3670316,352.0,nM,NC1=NC(c2cccc(F)c2)(c2cccc(NC(=O)c3ncc(Cl)cc3Cl)c2)CS1,6.453457336521868,True
3807,CHEMBL1258353,352.0,nM,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(C(C)C)cs2)CCCCC1,6.453457336521868,True
3808,CHEMBL3688725,352.5,nM,COc1cnc(C(=O)Nc2ccc(Cl)c([C@@]3(CF)N=C(N)O[C@@H]4C[C@@H]43)c2)c(C)n1,6.452840878672582,True
3809,CHEMBL501578,353.0,nM,COC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1ccccc1)N(C)C(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)N(C)C(=O)[C@@H](NC(=O)[C@H](C)O)C(C)C,6.452225294612178,False
3811,CHEMBL3639874,357.5,nM,Cc1cc(OCC#N)cnc1C(=O)Nc1ccc(F)c([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1,6.4467239538629,True
3812,CHEMBL3265332,360.0,nM,NC1=N[C@@]2(CO1)c1cc(-c3cncc(F)c3)ccc1O[C@@H]1COCC[C@H]12,6.443697499232712,True
