,molecule_chembl_id,IC50,units,smiles,pIC50,graph
4247,CHEMBL3357657,700.0,nM,CN1C(=O)[C@]2(N=C1N)c1cc(-c3cccnc3F)ccc1O[C@@H]1CCCO[C@H]12,6.154901959985743,"Data(x=[28, 9], edge_index=[2, 64], edge_attr=[64, 3], smiles='CN1C(=O)[C@]2(N=C1N)c1cc(-c3cccnc3F)ccc1O[C@@H]1CCCO[C@H]12')"
4248,CHEMBL3670913,700.0,nM,C[C@]1(c2cc(Nc3ccc(C#N)cc3)ccc2F)N=C(N)COCC1(F)F,6.154901959985743,"Data(x=[27, 9], edge_index=[2, 58], edge_attr=[58, 3], smiles='C[C@]1(c2cc(Nc3ccc(C#N)cc3)ccc2F)N=C(N)COCC1(F)F')"
4249,CHEMBL1209355,700.0,nM,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(N3CCCOCC3)c2)CCCCC1,6.154901959985743,"Data(x=[37, 9], edge_index=[2, 80], edge_attr=[80, 3], smiles='CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(N3CCCOCC3)c2)CCCCC1')"
4250,CHEMBL254891,700.0,nM,N=C(N)NC(=O)Cn1c(-c2ccc(Oc3ccccc3)cc2)ccc1-c1csc2ccccc12,6.154901959985743,"Data(x=[34, 9], edge_index=[2, 76], edge_attr=[76, 3], smiles='N=C(N)NC(=O)Cn1c(-c2ccc(Oc3ccccc3)cc2)ccc1-c1csc2ccccc12')"
4251,CHEMBL3653506,700.0,nM,COCc1cnc(C(=O)Nc2ccc(F)c([C@]3(C(F)F)COCC(N)=N3)c2)c(Cl)c1,6.154901959985743,"Data(x=[30, 9], edge_index=[2, 64], edge_attr=[64, 3], smiles='COCc1cnc(C(=O)Nc2ccc(F)c([C@]3(C(F)F)COCC(N)=N3)c2)c(Cl)c1')"
4252,CHEMBL3653473,700.0,nM,Cc1cnc(C(=O)Nc2ccc(F)c([C@]3(C(F)F)COCC(N)=N3)c2)s1,6.154901959985743,"Data(x=[26, 9], edge_index=[2, 56], edge_attr=[56, 3], smiles='Cc1cnc(C(=O)Nc2ccc(F)c([C@]3(C(F)F)COCC(N)=N3)c2)s1')"
4253,CHEMBL2047227,700.0,nM,Fc1ccc(CNc2ccnc(NC3CCN(Cc4ccccc4)CC3)n2)cc1,6.154901959985743,"Data(x=[29, 9], edge_index=[2, 64], edge_attr=[64, 3], smiles='Fc1ccc(CNc2ccnc(NC3CCN(Cc4ccccc4)CC3)n2)cc1')"
4254,CHEMBL4130130,701.0,nM,NC1=NC(c2c(F)ccc(NC(=O)c3ccc(Br)cn3)c2F)(C(F)F)COC1,6.154281982033341,"Data(x=[28, 9], edge_index=[2, 60], edge_attr=[60, 3], smiles='NC1=NC(c2c(F)ccc(NC(=O)c3ccc(Br)cn3)c2F)(C(F)F)COC1')"
4255,CHEMBL2349481,703.0,nM,CN1C(=O)C2(CC(C)(C)C(=O)c3ccc(-c4cncnc4)cc32)N=C1N,6.153044674980176,"Data(x=[26, 9], edge_index=[2, 58], edge_attr=[58, 3], smiles='CN1C(=O)C2(CC(C)(C)C(=O)c3ccc(-c4cncnc4)cc32)N=C1N')"
4256,CHEMBL82593,705.0,nM,COCC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,6.151810883008601,"Data(x=[51, 9], edge_index=[2, 104], edge_attr=[104, 3], smiles='COCC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C')"
4257,CHEMBL3918570,705.8,nM,COC1CCC2(CC1)Cc1ccc(C#CC3CC3)cc1[C@@]21N=C(N)N(Cc2ccccc2)C1=O,6.151318345976049,"Data(x=[34, 9], edge_index=[2, 78], edge_attr=[78, 3], smiles='COC1CCC2(CC1)Cc1ccc(C#CC3CC3)cc1[C@@]21N=C(N)N(Cc2ccccc2)C1=O')"
4258,CHEMBL2180032,710.0,nM,CC1=N[C@@](Cc2ccccc2)(c2cccc(-c3cncnc3)c2)N=C1N,6.1487416512809245,"Data(x=[26, 9], edge_index=[2, 58], edge_attr=[58, 3], smiles='CC1=N[C@@](Cc2ccccc2)(c2cccc(-c3cncnc3)c2)N=C1N')"
4259,CHEMBL2177472,710.0,nM,C[C@H]1C[C@]2(CCN1Cc1cccc(-c3ccccc3Cl)c1)CNS(=O)(=O)N2c1cccc(F)c1,6.1487416512809245,"Data(x=[34, 9], edge_index=[2, 76], edge_attr=[76, 3], smiles='C[C@H]1C[C@]2(CCN1Cc1cccc(-c3ccccc3Cl)c1)CNS(=O)(=O)N2c1cccc(F)c1')"
4260,CHEMBL2380809,710.0,nM,CC1(C)Cc2cc(Cl)ccc2C(NC(Cc2sccc2Br)C(=O)O)=N1,6.1487416512809245,"Data(x=[25, 9], edge_index=[2, 54], edge_attr=[54, 3], smiles='CC1(C)Cc2cc(Cl)ccc2C(NC(Cc2sccc2Br)C(=O)O)=N1')"
4261,CHEMBL2059101,710.0,nM,OC(Cn1c2ccccc2c2ccccc21)Cn1c2ccccc2c2ccccc21,6.1487416512809245,"Data(x=[30, 9], edge_index=[2, 70], edge_attr=[70, 3], smiles='OC(Cn1c2ccccc2c2ccccc21)Cn1c2ccccc2c2ccccc21')"
4262,CHEMBL3261060,710.0,nM,CC1(c2cccc(-c3cncnc3)c2)COCC(N)=N1,6.1487416512809245,"Data(x=[20, 9], edge_index=[2, 44], edge_attr=[44, 3], smiles='CC1(c2cccc(-c3cncnc3)c2)COCC(N)=N1')"
4263,CHEMBL3902648,715.0,nM,Cc1ccc([C@]23CO[C@@H](C4CC4)C[C@H]2CSC(N)=N3)c(F)c1,6.145693958198919,"Data(x=[22, 9], edge_index=[2, 50], edge_attr=[50, 3], smiles='Cc1ccc([C@]23CO[C@@H](C4CC4)C[C@H]2CSC(N)=N3)c(F)c1')"
4264,CHEMBL3969425,716.1,nM,COC1CCC2(CC1)Cc1ccc(C(C)C(F)(F)F)cc1C21N=C(N)N(C)C1=O,6.145026326273583,"Data(x=[29, 9], edge_index=[2, 64], edge_attr=[64, 3], smiles='COC1CCC2(CC1)Cc1ccc(C(C)C(F)(F)F)cc1C21N=C(N)N(C)C1=O')"
4265,CHEMBL3956054,718.0,nM,CC(C)OC[C@H]1C[C@H]2[C@@H](C)SC(N)=N[C@@]2(c2ccc(F)cc2F)CO1,6.1438755557577,"Data(x=[25, 9], edge_index=[2, 54], edge_attr=[54, 3], smiles='CC(C)OC[C@H]1C[C@H]2[C@@H](C)SC(N)=N[C@@]2(c2ccc(F)cc2F)CO1')"
4266,CHEMBL3645154,720.0,nM,CC#CC(=O)Nc1cccc([C@]2(C)CCSC(N)=N2)c1,6.142667503568731,"Data(x=[20, 9], edge_index=[2, 42], edge_attr=[42, 3], smiles='CC#CC(=O)Nc1cccc([C@]2(C)CCSC(N)=N2)c1')"
4267,CHEMBL4859258,720.0,nM,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CCC(=O)O)C(=O)N[C@@H](Cc1cccs1)C(=O)N[C@@H](CC(C)C)[C@H](O)CNc1ccc(C(C)(C)C(=O)O)cc1,6.142667503568731,"Data(x=[49, 9], edge_index=[2, 100], edge_attr=[100, 3], smiles='CC[C@H](C)[C@H](NC(=O)[C@@H](N)CCC(=O)O)C(=O)N[C@@H](Cc1cccs1)C(=O)N[C@@H](CC(C)C)[C@H](O)CNc1ccc(C(C)(C)C(=O)O)cc1')"
4268,CHEMBL1208936,720.0,nM,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(S(C)(=O)=O)c2)CCCCC1,6.142667503568731,"Data(x=[34, 9], edge_index=[2, 72], edge_attr=[72, 3], smiles='CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(S(C)(=O)=O)c2)CCCCC1')"
4269,CHEMBL3747247,720.0,nM,CC(=O)N1C[C@H](Nc2nc3cc(C)ccc3[nH]2)[C@@H](OC(=O)c2ccc(-c3ccccc3)cc2)C1,6.142667503568731,"Data(x=[34, 9], edge_index=[2, 76], edge_attr=[76, 3], smiles='CC(=O)N1C[C@H](Nc2nc3cc(C)ccc3[nH]2)[C@@H](OC(=O)c2ccc(-c3ccccc3)cc2)C1')"
4270,CHEMBL1915988,720.0,nM,CCCC[C@H]1CCN([C@@H](C)C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2Cc3ccccc3CN2)C1=O,6.142667503568731,"Data(x=[37, 9], edge_index=[2, 80], edge_attr=[80, 3], smiles='CCCC[C@H]1CCN([C@@H](C)C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2Cc3ccccc3CN2)C1=O')"
4271,CHEMBL1257533,720.0,nM,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(CC(C)(C)C)c[n+]([O-])c2)CC1,6.142667503568731,"Data(x=[33, 9], edge_index=[2, 70], edge_attr=[70, 3], smiles='CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(CC(C)(C)C)c[n+]([O-])c2)CC1')"
4272,CHEMBL187765,720.0,nM,CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N[C@@H](CC(C)C)[C@@H](O)[C@@H]1CC(=O)C[C@H]1C(=O)N[C@@H](C)C(=O)O,6.142667503568731,"Data(x=[41, 9], edge_index=[2, 82], edge_attr=[82, 3], smiles='CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N[C@@H](CC(C)C)[C@@H](O)[C@@H]1CC(=O)C[C@H]1C(=O)N[C@@H](C)C(=O)O')"
4273,CHEMBL3642619,720.0,nM,CC1(c2cc(Br)cc(NC(=O)c3ccccn3)c2)CCSC(N)=N1,6.142667503568731,"Data(x=[24, 9], edge_index=[2, 52], edge_attr=[52, 3], smiles='CC1(c2cc(Br)cc(NC(=O)c3ccccn3)c2)CCSC(N)=N1')"
4274,CHEMBL3672446,720.0,nM,O=C(/C=C/c1ccc(O)cc1Cl)CC(=O)/C=C/c1ccc(O)cc1Cl,6.142667503568731,"Data(x=[25, 9], edge_index=[2, 52], edge_attr=[52, 3], smiles='O=C(/C=C/c1ccc(O)cc1Cl)CC(=O)/C=C/c1ccc(O)cc1Cl')"
4275,CHEMBL3672398,720.0,nM,Cc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)cc2)ccc1O,6.142667503568731,"Data(x=[24, 9], edge_index=[2, 50], edge_attr=[50, 3], smiles='Cc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)cc2)ccc1O')"
4276,CHEMBL3747381,720.0,nM,CC(C)c1ccc(C(=O)O[C@H]2CN(S(=O)(=O)c3ccccc3)C[C@@H]2Nc2nc3cc(F)ccc3[nH]2)cc1,6.142667503568731,"Data(x=[37, 9], edge_index=[2, 82], edge_attr=[82, 3], smiles='CC(C)c1ccc(C(=O)O[C@H]2CN(S(=O)(=O)c3ccccc3)C[C@@H]2Nc2nc3cc(F)ccc3[nH]2)cc1')"
4277,CHEMBL4463101,720.5,nM,COc1cccc(OC)c1-c1cccc(C2(c3ccccc3)N=C(N)N(C)C2=O)c1,6.142366014849992,"Data(x=[30, 9], edge_index=[2, 66], edge_attr=[66, 3], smiles='COc1cccc(OC)c1-c1cccc(C2(c3ccccc3)N=C(N)N(C)C2=O)c1')"
4278,CHEMBL3765711,730.0,nM,O=C(/C=C/c1ccc(OCc2cc(F)cc(F)c2)cc1)CC(=O)/C=C/c1ccc(OCc2cc(F)cc(F)c2)cc1,6.136677139879544,"Data(x=[41, 9], edge_index=[2, 88], edge_attr=[88, 3], smiles='O=C(/C=C/c1ccc(OCc2cc(F)cc(F)c2)cc1)CC(=O)/C=C/c1ccc(OCc2cc(F)cc(F)c2)cc1')"
4279,CHEMBL3746656,730.0,nM,CC(C)c1ccc(CO[C@H]2CN(C(=O)OC(C)(C)C)C[C@@H]2Nc2nc3cc(F)ccc3[nH]2)cc1,6.136677139879544,"Data(x=[34, 9], edge_index=[2, 74], edge_attr=[74, 3], smiles='CC(C)c1ccc(CO[C@H]2CN(C(=O)OC(C)(C)C)C[C@@H]2Nc2nc3cc(F)ccc3[nH]2)cc1')"
4280,CHEMBL370801,730.0,nM,CN(c1cc(/C=C/C2CC2)cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)c1)S(C)(=O)=O,6.136677139879544,"Data(x=[35, 9], edge_index=[2, 76], edge_attr=[76, 3], smiles='CN(c1cc(/C=C/C2CC2)cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)c1)S(C)(=O)=O')"
4281,CHEMBL3672399,730.0,nM,O=C(/C=C/c1ccc(O)cc1)CC(=O)/C=C/c1ccc(O)c(Cl)c1,6.136677139879544,"Data(x=[24, 9], edge_index=[2, 50], edge_attr=[50, 3], smiles='O=C(/C=C/c1ccc(O)cc1)CC(=O)/C=C/c1ccc(O)c(Cl)c1')"
4282,CHEMBL4452092,730.0,nM,O=[N+]([O-])c1ccc(/C=N/C2CCN(Cc3ccccc3)CC2)cc1,6.136677139879544,"Data(x=[24, 9], edge_index=[2, 52], edge_attr=[52, 3], smiles='O=[N+]([O-])c1ccc(/C=N/C2CCN(Cc3ccccc3)CC2)cc1')"
